,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
911,1102,316013007,2017-01-17T23:04:47,44.22594,-76.47414,-0.1,-49.6,171.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
632,756,316013007,2017-01-12T15:14:57,44.2248,-76.47328,-0.1,-49.6,173.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
258,316,316013007,2017-01-05T14:44:51,44.22681,-76.47352,-0.1,-49.6,162.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
654,782,316013007,2017-01-13T00:04:36,44.22769,-76.47375,-0.1,-49.6,175.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
87,102,316013007,2017-01-02T11:18:20,44.2257,-76.47279,-0.1,-49.6,165.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1308,1578,316013007,2017-01-25T20:03:18,44.22838,-76.47381,-0.1,-49.6,178.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1322,1596,316013007,2017-01-26T04:25:07,44.22998,-76.47437,-0.1,-49.6,175.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1422,1714,316013007,2017-01-27T20:03:50,44.22898,-76.47436,-0.1,-49.6,172.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
194,228,316013007,2017-01-04T11:04:07,44.22895,-76.4741,-0.1,-49.6,176.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1381,1664,316013007,2017-01-27T03:10:10,44.22828,-76.47408,-0.1,-49.6,176.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1361,1640,316013007,2017-01-26T18:31:47,44.22801,-76.47386999999998,-0.1,-49.6,176.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
458,556,316013007,2017-01-09T18:34:07,44.22837,-76.47397,-0.1,-49.6,178.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1350,1628,316013007,2017-01-26T15:19:37,44.22957,-76.47398000000003,-0.1,-49.6,175.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1161,1398,316013007,2017-01-22T17:34:09,44.2311,-76.47447,-0.1,-49.6,172.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
834,1002,316013007,2017-01-16T12:02:09,44.23117,-76.47451,-0.1,-49.6,169.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
758,914,316013007,2017-01-14T21:47:09,44.22463,-76.47376,-0.1,-49.6,168.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1059,1272,316013007,2017-01-20T12:18:48,44.22848,-76.4743,-0.1,-49.6,174.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
480,582,316013007,2017-01-10T02:46:58,44.2252,-76.47306999999998,-0.1,-49.6,170.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
426,522,316013007,2017-01-08T23:45:37,44.22426,-76.47343000000002,-0.1,-49.6,170.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
1576,1914,316013007,2017-01-30T22:04:37,44.23021,-76.47414,-0.1,-49.6,177.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,4
