,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
20324,20324,316013007,2017-01-16T23:40:19,44.22017,-76.45697,-0.1,-49.6,98,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
28636,28636,316013007,2017-01-23T10:27:20,44.21535,-76.42605,-0.1,-49.6,115,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
34767,34767,316013007,2017-01-28T04:38:36,44.21665,-76.43681,-0.1,-49.6,98,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
27746,27746,316013007,2017-01-22T17:52:10,44.21529,-76.4269,-0.1,-49.6,98,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
24646,24646,316013007,2017-01-20T08:27:57,44.21534000000001,-76.42605,-0.1,-49.6,116,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
2739,2739,316013007,2017-01-03T03:26:35,44.21534000000001,-76.42605,-0.1,-49.6,115,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
3354,3354,316013007,2017-01-03T14:51:32,44.21535,-76.42605,-0.1,-49.6,116,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
14305,14305,316013007,2017-01-12T04:33:25,44.21906,-76.45635,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
34321,34321,316013007,2017-01-27T20:21:30,44.21534000000001,-76.42604,-0.1,-49.6,116,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
17856,17856,316013007,2017-01-15T01:19:05,44.21608,-76.433,-0.1,-49.6,98,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
23664,23664,316013007,2017-01-19T14:25:08,44.21736,-76.43758000000003,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
24626,24626,316013007,2017-01-20T08:05:59,44.21536,-76.42607,-0.1,-49.6,115,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
15719,15719,316013007,2017-01-13T07:21:58,44.21534000000001,-76.42604,-0.1,-49.6,116,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
32270,32270,316013007,2017-01-26T06:00:07,44.2155,-76.42723000000002,-0.1,-49.6,106,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
4319,4319,316013007,2017-01-04T08:37:57,44.21536,-76.42605,-0.1,-49.6,115,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
4415,4415,316013007,2017-01-04T10:24:57,44.21535,-76.42605,-0.1,-49.6,116,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
10954,10954,316013007,2017-01-09T13:52:46,44.21534000000001,-76.42604,-0.1,-49.6,115,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
34138,34138,316013007,2017-01-27T16:58:37,44.21534000000001,-76.42604,-0.1,-49.6,115,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
25099,25099,316013007,2017-01-20T16:47:43,44.21628,-76.42907,-0.1,-49.6,111,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
17263,17263,316013007,2017-01-14T13:42:17,44.22033,-76.45815,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,3
