,Unnamed: 0,Unnamed: 0.1,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
1301,1301,1618,316013007,2017-01-26T16:25:50,44.23263,-76.47704,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
936,936,1174,316013007,2017-01-19T12:49:26,44.232620000000004,-76.47703,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
332,332,414,316013007,2017-01-07T20:51:37,44.2326,-76.47702,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
1242,1242,1546,316013007,2017-01-25T16:18:20,44.23238,-76.47516999999998,-0.1,-49.6,105.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
1304,1304,1622,316013007,2017-01-26T17:22:37,44.232620000000004,-76.47703,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
824,824,1034,316013007,2017-01-17T05:24:44,44.232620000000004,-76.47703,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
1518,1518,1878,316013007,2017-01-30T18:47:36,44.2326,-76.47703,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
809,809,1012,316013007,2017-01-17T00:57:08,44.23261,-76.47703,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
130,130,162,316013007,2017-01-03T18:52:54,44.23261,-76.47704,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
580,580,722,316013007,2017-01-12T20:01:38,44.2326,-76.47627,-0.1,-49.6,102.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
749,749,942,316013007,2017-01-16T01:54:40,44.23261,-76.47704,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
6,6,8,316013007,2017-01-01T05:37:08,44.23263,-76.47703,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
743,743,934,316013007,2017-01-15T23:58:19,44.23261,-76.47705,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
1591,1591,1968,316013007,2017-01-31T20:49:09,44.23255,-76.47579,-0.1,-49.6,97.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
695,695,872,316013007,2017-01-15T06:50:17,44.2326,-76.47705,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
0,0,0,316013007,2017-01-01T00:56:16,44.232620000000004,-76.47705,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
1149,1149,1432,316013007,2017-01-23T18:46:27,44.23261,-76.47703,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
572,572,712,316013007,2017-01-12T16:22:08,44.2326,-76.47702,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
1333,1333,1656,316013007,2017-01-27T11:06:38,44.232620000000004,-76.47688000000002,-0.1,-49.6,98.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
1531,1531,1896,316013007,2017-01-30T22:53:48,44.23261,-76.47704,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
781,781,978,316013007,2017-01-16T11:05:08,44.232620000000004,-76.47704,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
740,740,928,316013007,2017-01-15T21:58:19,44.232620000000004,-76.47702,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
606,606,756,316013007,2017-01-13T12:14:49,44.2326,-76.47704,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,0
