,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
9168,9168,316013007,2017-01-08T04:21:28,44.23214,-76.47491,-0.1,-49.6,151,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
30240,30240,316013007,2017-01-24T16:18:39,44.23152,-76.47466999999997,-0.1,-49.6,152,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
18716,18716,316013007,2017-01-15T17:32:48,44.23233,-76.4749,-0.1,-49.6,148,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
25704,25704,316013007,2017-01-21T03:58:57,44.23167,-76.47469,-0.1,-49.6,149,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
10033,10033,316013007,2017-01-08T20:33:12,44.23159,-76.47448,-0.1,-49.6,148,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
30938,30938,316013007,2017-01-25T05:19:55,44.23178,-76.47444,-0.1,-49.6,149,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
14982,14982,316013007,2017-01-12T17:31:47,44.23231,-76.47524,-0.1,-49.6,153,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
10454,10454,316013007,2017-01-09T04:23:27,44.23138,-76.47458,-0.1,-49.6,154,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
9926,9926,316013007,2017-01-08T18:34:06,44.23143,-76.47434,-0.1,-49.6,155,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
30009,30009,316013007,2017-01-24T12:03:10,44.23134,-76.47442,-0.1,-49.6,156,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
9628,9628,316013007,2017-01-08T13:04:06,44.23151,-76.47464000000002,-0.1,-49.6,153,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
34876,34876,316013007,2017-01-28T06:40:55,44.23176,-76.47452,-0.1,-49.6,150,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
30295,30295,316013007,2017-01-24T17:19:29,44.23147,-76.47437,-0.1,-49.6,149,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
27852,27852,316013007,2017-01-22T19:48:38,44.23157,-76.47435,-0.1,-49.6,151,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
17539,17539,316013007,2017-01-14T19:03:27,44.23185,-76.47476999999998,-0.1,-49.6,157,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
27487,27487,316013007,2017-01-22T13:03:58,44.23146,-76.47466999999997,-0.1,-49.6,150,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,4
