,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
22772,22772,316013007,2017-01-18T20:56:50,44.23262,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
15273,15273,316013007,2017-01-12T22:55:38,44.23261,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
34739,34739,316013007,2017-01-28T04:07:07,44.23262,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
24842,24842,316013007,2017-01-20T12:05:46,44.23262,-76.47705,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
10934,10934,316013007,2017-01-09T13:30:19,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
30533,30533,316013007,2017-01-24T21:44:18,44.23261,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
29096,29096,316013007,2017-01-23T19:02:56,44.23261,-76.47702,-0.1,-49.6,102,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
4951,4951,316013007,2017-01-04T20:22:58,44.23261,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
1339,1339,316013007,2017-01-02T00:49:02,44.23263,-76.47703,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
13838,13838,316013007,2017-01-11T19:52:51,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
26263,26263,316013007,2017-01-21T14:21:58,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
26833,26833,316013007,2017-01-22T00:53:35,44.23262,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
26557,26557,316013007,2017-01-21T19:48:26,44.23249000000001,-76.4758,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
28375,28375,316013007,2017-01-23T05:29:12,44.23262,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
14051,14051,316013007,2017-01-11T23:49:07,44.2326,-76.47704,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
18492,18492,316013007,2017-01-15T13:21:48,44.23262,-76.47703,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
6542,6542,316013007,2017-01-06T02:59:59,44.2326,-76.47704,-0.1,-49.6,100,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
29825,29825,316013007,2017-01-24T08:35:42,44.23261,-76.47704,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
9757,9757,316013007,2017-01-08T15:26:48,44.23262,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
16356,16356,316013007,2017-01-13T19:53:38,44.2326,-76.47702,-0.1,-49.6,101,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,0
