,Unnamed: 0,Unnamed: 0.1,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
1526,1526,1890,316013007,2017-01-30T22:04:37,44.23021,-76.47414,-0.1,-49.6,177.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
288,288,360,316013007,2017-01-07T02:45:17,44.22622,-76.47402,-0.1,-49.6,172.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
198,198,250,316013007,2017-01-05T05:34:07,44.22529,-76.4751,-0.1,-49.6,179.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
342,342,430,316013007,2017-01-08T04:22:37,44.22922,-76.47418,-0.1,-49.6,174.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
389,389,490,316013007,2017-01-08T23:04:47,44.22798,-76.47423,-0.1,-49.6,178.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
1184,1184,1476,316013007,2017-01-24T16:16:29,44.22615,-76.47371,-0.1,-49.6,174.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
188,188,236,316013007,2017-01-04T21:40:18,44.23003,-76.47464000000002,-0.1,-49.6,172.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
569,569,708,316013007,2017-01-12T15:32:08,44.23165,-76.47464000000002,-0.1,-49.6,168.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
629,629,782,316013007,2017-01-13T20:46:47,44.22493,-76.47362,-0.1,-49.6,174.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
1334,1334,1658,316013007,2017-01-27T11:22:18,44.22549,-76.47319,-0.1,-49.6,174.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
1275,1275,1584,316013007,2017-01-26T06:39:26,44.22905,-76.47407,-0.1,-49.6,174.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
968,968,1212,316013007,2017-01-20T01:44:58,44.227109999999996,-76.47435,-0.1,-49.6,175.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
1345,1345,1670,316013007,2017-01-27T14:34:39,44.22712,-76.47404,-0.1,-49.6,168.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
331,331,412,316013007,2017-01-07T20:04:36,44.22633,-76.47363,-0.1,-49.6,160.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
886,886,1112,316013007,2017-01-18T13:01:46,44.22632,-76.47345,-0.1,-49.6,174.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
1003,1003,1254,316013007,2017-01-20T19:45:08,44.22679,-76.47386999999998,-0.1,-49.6,172.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
581,581,724,316013007,2017-01-12T20:48:36,44.23125,-76.47480999999998,-0.1,-49.6,167.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
372,372,468,316013007,2017-01-08T17:15:56,44.22452,-76.47331,-0.1,-49.6,165.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
1172,1172,1462,316013007,2017-01-24T11:17:37,44.22947,-76.47359,-0.1,-49.6,171.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
889,889,1116,316013007,2017-01-18T14:16:27,44.22417,-76.47261999999998,-0.1,-49.6,163.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,3
