MMSI,Longitude,Latitude,SOG,COG,Heading
316013007,-76.48879,-41.24744999999999,-0.1,-49.6,120.0
316013007,-76.48250999999999,-41.24116999999999,-0.1,-49.6,179.0
316013007,-76.4904,-41.24905999999999,-0.1,-49.6,100.0
316013007,-76.48522,-41.24388,-0.1,-49.6,172.0
316013007,-76.47367,-41.23233,-0.1,-49.6,103.0
316013007,-76.47728000000001,-41.23594000000001,-0.1,-49.6,151.0
316013007,-76.46940000000001,-41.228060000000006,-0.1,-49.6,105.0
316013007,-76.46435,-41.223009999999995,-0.1,-49.6,106.0
316013007,-76.47988000000001,-41.23854000000001,-0.1,-49.6,184.0
316013007,-76.44973,-41.20839,-0.1,-49.6,104.0
316013007,-76.45918,-41.21784,-0.1,-49.6,102.0
316013007,-76.44459,-41.203250000000004,-0.1,-49.6,105.0
316013007,-76.44016,-41.198820000000005,-0.1,-49.6,106.0
316013007,-76.45478,-41.21344,-0.1,-49.6,104.0
316013007,-76.43566999999999,-41.19432999999999,-0.1,-49.6,106.0
316013007,-76.42616000000001,-41.18482000000001,-0.1,-49.6,108.0
316013007,-76.43055,-41.189209999999996,-0.1,-49.6,104.0
316013007,-76.42218,-41.180839999999996,-0.1,-49.6,114.0
316013007,-76.42215,-41.18081,-0.1,-49.6,116.0
316013007,-76.42213000000001,-41.18079000000001,-0.1,-49.6,116.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.42308,-41.18174,-0.1,-49.6,108.0
316013007,-76.42214,-41.1808,-0.1,-49.6,116.0
316013007,-76.42216,-41.180820000000004,-0.1,-49.6,117.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.42212,-41.180780000000006,-0.1,-49.6,116.0
316013007,-76.42212,-41.180780000000006,-0.1,-49.6,116.0
316013007,-76.42213000000001,-41.18079000000001,-0.1,-49.6,116.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.4256,-41.18426,-0.1,-49.6,100.0
316013007,-76.43440999999999,-41.193069999999985,-0.1,-49.6,99.0
316013007,-76.42238,-41.18104,-0.1,-49.6,110.0
316013007,-76.44789,-41.20655,-0.1,-49.6,107.0
316013007,-76.43026,-41.18892,-0.1,-49.6,100.0
316013007,-76.4392,-41.19786,-0.1,-49.6,100.0
316013007,-76.46101,-41.21967,-0.1,-49.6,96.0
316013007,-76.44402,-41.202679999999994,-0.1,-49.6,102.0
316013007,-76.45725999999999,-41.21591999999999,-0.1,-49.6,103.0
316013007,-76.46549,-41.22415,-0.1,-49.6,100.0
316013007,-76.47505000000001,-41.23371000000001,-0.1,-49.6,112.0
316013007,-76.45282,-41.21148,-0.1,-49.6,106.0
316013007,-76.48599,-41.24465,-0.1,-49.6,159.0
316013007,-76.49037999999999,-41.24903999999999,-0.1,-49.6,99.0
316013007,-76.47019,-41.22885,-0.1,-49.6,102.0
316013007,-76.48227,-41.24093,-0.1,-49.6,171.0
316013007,-76.49039,-41.249050000000004,-0.1,-49.6,101.0
316013007,-76.49039,-41.249050000000004,-0.1,-49.6,100.0
316013007,-76.49039,-41.249050000000004,-0.1,-49.6,101.0
316013007,-76.4904,-41.24905999999999,-0.1,-49.6,101.0
316013007,-76.47856999999999,-41.23722999999999,-0.1,-49.6,167.0
316013007,-76.49038999999999,-41.24904999999999,-0.1,-49.6,101.0
316013007,-76.49039,-41.249050000000004,-0.1,-49.6,100.0
316013007,-76.48964000000001,-41.24830000000001,-0.1,-49.6,100.0
316013007,-76.49041,-41.249069999999996,-0.1,-49.6,101.0
316013007,-76.48123000000001,-41.23989000000001,-0.1,-49.6,163.0
316013007,-76.49038000000002,-41.249040000000015,-0.1,-49.6,100.0
316013007,-76.49042,-41.24908,-0.1,-49.6,101.0
316013007,-76.47005,-41.22871,-0.1,-49.6,103.0
316013007,-76.46566999999999,-41.22432999999999,-0.1,-49.6,104.0
316013007,-76.49021000000002,-41.24887000000002,-0.1,-49.6,96.0
316013007,-76.45093,-41.20959,-0.1,-49.6,105.0
316013007,-76.48373000000001,-41.24239000000001,-0.1,-49.6,163.0
316013007,-76.46053,-41.219190000000005,-0.1,-49.6,104.0
316013007,-76.48693,-41.24559,-0.1,-49.6,171.0
316013007,-76.47849000000001,-41.23715000000001,-0.1,-49.6,157.0
316013007,-76.47502,-41.23368,-0.1,-49.6,101.0
316013007,-76.49040000000001,-41.24906000000001,-0.1,-49.6,101.0
316013007,-76.456,-41.21466,-0.1,-49.6,104.0
316013007,-76.42723000000001,-41.18589000000001,-0.1,-49.6,109.0
316013007,-76.49037000000001,-41.24903000000001,-0.1,-49.6,101.0
316013007,-76.44591,-41.20457,-0.1,-49.6,106.0
316013007,-76.43652,-41.19518,-0.1,-49.6,106.0
316013007,-76.44115,-41.19980999999999,-0.1,-49.6,104.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.42362,-41.18228,-0.1,-49.6,116.0
316013007,-76.43194,-41.190599999999996,-0.1,-49.6,105.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.42213000000001,-41.18079000000001,-0.1,-49.6,116.0
316013007,-76.44015,-41.19881,-0.1,-49.6,96.0
316013007,-76.4222,-41.18086,-0.1,-49.6,115.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.42214000000001,-41.18080000000001,-0.1,-49.6,116.0
316013007,-76.42213000000001,-41.18079000000001,-0.1,-49.6,116.0
