,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
6549,6549,316013007,2017-01-06T03:07:46,44.22528,-76.47333,-0.1,-49.6,170,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
8534,8534,316013007,2017-01-07T16:34:56,44.22927,-76.47409,-0.1,-49.6,172,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
7441,7441,316013007,2017-01-06T20:03:19,44.23064,-76.47452,-0.1,-49.6,173,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
35283,35283,316013007,2017-01-28T14:18:46,44.22865,-76.47395,-0.1,-49.6,172,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
27715,27715,316013007,2017-01-22T17:17:36,44.23,-76.47453,-0.1,-49.6,173,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
11383,11383,316013007,2017-01-09T21:54:06,44.2244,-76.47306,-0.1,-49.6,169,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
14821,14821,316013007,2017-01-12T14:32:47,44.23002,-76.47426,-0.1,-49.6,173,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
25549,25549,316013007,2017-01-21T01:05:27,44.22514,-76.47323,-0.1,-49.6,170,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
35667,35667,316013007,2017-01-28T21:49:29,44.22926,-76.47364,-0.1,-49.6,171,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
34755,34755,316013007,2017-01-28T04:25:09,44.23146,-76.47419000000002,-0.1,-49.6,176,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
5572,5572,316013007,2017-01-05T08:01:37,44.22824,-76.47474,-0.1,-49.6,174,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
4557,4557,316013007,2017-01-04T13:02:37,44.22417,-76.47301,-0.1,-49.6,160,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
15789,15789,316013007,2017-01-13T08:39:42,44.22435,-76.47354,-0.1,-49.6,160,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
15498,15498,316013007,2017-01-13T03:04:57,44.22908,-76.47395,-0.1,-49.6,174,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
9588,9588,316013007,2017-01-08T12:19:25,44.22923,-76.47455,-0.1,-49.6,177,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
7496,7496,316013007,2017-01-06T21:04:59,44.22548,-76.47383,-0.1,-49.6,163,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
9217,9217,316013007,2017-01-08T05:15:58,44.22968,-76.4745,-0.1,-49.6,177,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
22994,22994,316013007,2017-01-19T01:03:16,44.23015,-76.47386999999998,-0.1,-49.6,172,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
19011,19011,316013007,2017-01-15T23:02:48,44.23065,-76.47412,-0.1,-49.6,173,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
36843,36843,316013007,2017-01-29T19:49:28,44.22985,-76.47378,-0.1,-49.6,167,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
18473,18473,316013007,2017-01-15T13:00:47,44.22684,-76.47398000000003,-0.1,-49.6,169,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,1
