MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
316013007,2017-01-01T13:42:47,44.21888,-76.45237,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-01T13:42:47,44.21880000000001,-76.45518999999999,-0.1,-49.6,190.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-01T16:41:02,44.2207,-76.4629,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-01T16:41:02,44.22933000000001,-76.45336999999999,-0.1,-49.6,191.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-01T16:44:10,44.21885,-76.45112,-0.1,-49.6,100.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-01T16:44:10,44.21755000000001,-76.45522,-0.1,-49.6,190.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-01T16:51:47,44.21534,-76.42611,-0.1,-49.6,112.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-01T16:51:47,44.19254,-76.45873,-0.1,-49.6,202.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
316013007,2017-01-01T17:29:45,44.2326,-76.47702,-0.1,-49.6,101.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,1
316013007,2017-01-01T17:29:45,44.24345,-76.44147,-0.1,-49.6,191.0,WOLFE ISLANDER III,IMO7423079,VA3418,WOLFE ISLANDER III,under way using engine,62.49,20.27,2.3,60,-1
