,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,label
34630,34630,316013007,2017-01-28T02:05:15,44.22403,-76.47377,-0.1,-49.6,150,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
18646,18646,316013007,2017-01-15T16:14:58,44.22335,-76.4729,-0.1,-49.6,147,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
12139,12139,316013007,2017-01-10T12:01:27,44.22342,-76.47289,-0.1,-49.6,143,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
11289,11289,316013007,2017-01-09T20:08:44,44.22355,-76.47296,-0.1,-49.6,147,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
36367,36367,316013007,2017-01-29T10:59:00,44.22296,-76.47211999999998,-0.1,-49.6,142,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
33926,33926,316013007,2017-01-27T13:03:02,44.22332,-76.47241,-0.1,-49.6,151,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
17397,17397,316013007,2017-01-14T16:15:27,44.22316,-76.47211,-0.1,-49.6,145,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
3219,3219,316013007,2017-01-03T12:22:29,44.22378,-76.47335,-0.1,-49.6,147,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
17877,17877,316013007,2017-01-15T01:44:56,44.22388,-76.47306,-0.1,-49.6,149,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
6370,6370,316013007,2017-01-05T23:12:28,44.22364,-76.47301999999998,-0.1,-49.6,152,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
36420,36420,316013007,2017-01-29T11:58:08,44.22353,-76.47236,-0.1,-49.6,147,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
16524,16524,316013007,2017-01-13T23:05:57,44.22347,-76.47317,-0.1,-49.6,148,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
7930,7930,316013007,2017-01-07T05:13:29,44.22338,-76.47225,-0.1,-49.6,150,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
2137,2137,316013007,2017-01-02T16:13:39,44.22387,-76.47288,-0.1,-49.6,150,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
20081,20081,316013007,2017-01-16T19:06:48,44.22348,-76.47266,-0.1,-49.6,147,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
21698,21698,316013007,2017-01-18T01:04:47,44.2238,-76.4736,-0.1,-49.6,151,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
7999,7999,316013007,2017-01-07T06:34:17,44.22339,-76.4724,-0.1,-49.6,142,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
9215,9215,316013007,2017-01-08T05:13:47,44.22395,-76.47344,-0.1,-49.6,151,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
24800,24800,316013007,2017-01-20T11:19:27,44.22354,-76.47254000000002,-0.1,-49.6,143,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
21787,21787,316013007,2017-01-18T02:44:37,44.2231,-76.47243,-0.1,-49.6,145,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
38360,38360,316013007,2017-01-31T00:45:22,44.22276,-76.47329,-0.1,-49.6,147,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
20953,20953,316013007,2017-01-17T11:19:58,44.22342,-76.47306999999998,-0.1,-49.6,146,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
35771,35771,316013007,2017-01-28T23:45:54,44.22368,-76.47315,-0.1,-49.6,150,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
25421,25421,316013007,2017-01-20T22:43:56,44.22341,-76.47268000000003,-0.1,-49.6,145,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
242,242,316013007,2017-01-01T04:28:57,44.22341,-76.4727,-0.1,-49.6,144,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
36954,36954,316013007,2017-01-29T21:52:07,44.22354,-76.47225999999998,-0.1,-49.6,144,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
13991,13991,316013007,2017-01-11T22:42:27,44.22376,-76.47286,-0.1,-49.6,152,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
6035,6035,316013007,2017-01-05T16:57:19,44.2238,-76.47261,-0.1,-49.6,148,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
897,897,316013007,2017-01-01T16:37:46,44.22401,-76.4733,-0.1,-49.6,151,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
27024,27024,316013007,2017-01-22T04:25:46,44.22366,-76.47287,-0.1,-49.6,142,WOLFE ISLANDER III,IMO7423079,VA3418,1018,under way using engine,62.49,20.27,2.3,60,2
